"He wrote the script in cooperation with Bianca Olsen, Laurie Aubanel and Cyril Rambour."	"In collaboration with Bianca Olsen, Laurie Aubanel and Cyril Rambour, he wrote the script."			
"Although discovered in 1888 by Samuel Alejandro Lafone Quevedo, the ruins were first studied in 1897 by the archaeologist Juan Bautista Ambrosetti."	"Although the ruins were discovered in 1888 by Samuel Alejandro Lafone Quevedo, they were first examined in 1897 by the archaeologist Juan Bautista Ambrosetti."			
"Although discovered in 1888 by Samuel Alejandro Lafone Quevedo, the ruins were first studied in 1897 by the archaeologist Juan Bautista Ambrosetti."	"Although the ruins were discovered by Samuel Alejandro Lafone Quevedo in 1888, they were first investigated in 1897 by the archaeologist Juan Bautista Ambrosetti."			
"Although studied in 1888 by Samuel Alejandro Lafone Quevedo, the ruins were first discovered in 1897 by the archaeologist Juan Bautista Ambrosetti."	"Although the ruins were investigated by Samuel Alejandro Lafone Quevedo in 1888, they were first discovered in 1897 by the archaeologist Juan Bautista Ambrosetti."			
"Although studied in 1888 by Samuel Alejandro Lafone Quevedo, the ruins were first discovered in 1897 by the archaeologist Juan Bautista Ambrosetti."	"Although the ruins were examined in 1888 by Samuel Alejandro Lafone Quevedo, they were first discovered in 1897 by the archaeologist Juan Bautista Ambrosetti."			
"In 1927, Bothwell married Marion (Ann) Seale, a fellow Oregon State student. The couple had two children: son Lindley Jr. and daughter Bonnie."	"In 1927, Bothwell Marion (Ann) Seale, a classmate from Oregon State married, the couple had two children: son Lindley Jr. and daughter Bonnie."			
"In 1927, Seale married Marion (Ann) Bothwell, a fellow Oregon State student. The couple had two children: son Lindley Jr. and daughter Bonnie."	"In 1927, Seale Marion (Ann) Bothwell, a classmate from Oregon State married, the couple had two children: son Lindley Jr. and daughter Bonnie."			
"The unique map of an exponential Lie algebra is a diffeomorphism between the Lie algebra and the nilpotent associated connected, simply-connected Lie group."	"The unique map of an exponential Lie - Algebra is a diffeomorphism between the Lie - Algebra and the nilpotent - associated, simply associated lie group."			
"On March 8, he and Osamu Nishimura beat Donovan Morgan & Lex Lovett at an EWE show."	"On 8 March he and Osamu Nishimura Donovan Morgan ""Lex Lovett"" beat him at an EWE show."			
"On March 8, he and Donovan Morgan beat Lex Lovett & Osamu Nishimura at an EWE show."	"On March 8, he and Donovan Morgan Lex Lovett, Osamu Nishimura beat Osamu Nishimura at an EWE show."			
"On March 8, he and Donovan Morgan beat Lex Lovett & Osamu Nishimura at an EWE show."	"On 8 March he and Donovan Morgan Lex Lovett, Osamu Nishimura beat at an EWE show."			
Despite the general success of the limited attack the battalion lost nearly half its strength.	"Despite the general success of the limited attack, the battalion lost nearly half of its strength."			
Despite the general success of the limited attack the battalion lost nearly half its strength.	"Despite the general success of the limited attack, the battalion lost nearly its half force."			
Despite the limited success of the general attack the battalion lost nearly half its strength.	"Despite the limited success of the general attack, the battalion lost nearly half of its strength."			
The first European to visit Cornwallis Island was Sir William Edward Parry in 1819 and named for British Royal Navy admiral Sir William Cornwallis.	The first European to visit Cornwallis Island was Sir William Edward Parry in 1819 and named after British Royal Navy Admiral Sir William Cornwallis.			
The first European to visit Cornwallis Island was Sir William Cornwallis in 1819 and was named for British Royal Navy admiral Sir William Edward Parry.	"The first European to visit Cornwallis Island was Sir William Cornwallis in 1819, and was named after British Royal Navy Admiral Sir William Edward Parry."			
"Paul Webb explained, ""it was recorded before it was written."""	"It was recorded before it was written, Paul Paul Webb explained."			
Robert retaliated against the recalcitrant John by sending a troop of soldiers from Brabant to Bangor.	"Against the recalcitrant John, Robert presented himself by sending a troop of soldiers from Brabant to Bangor."			
"He wears a green and yellow baseball cap, and a red and blue t-shirt."	He wears a green and yellow baseball cap and a red - blue T-shirt.			
He said in December 2007 that the presidential majority would present joint lists for the 2008 local elections.	"In December 2007, he said that the presidential majority would present common lists for the local elections in 2008."			
He said in December 2007 that the presidential majority would present joint lists for the 2008 local elections.	"In December 2007, he said that the presidential majority would present common lists for the 2008 local elections."			
"He said in December 2007, that the local majority would present joint lists for the 2008 presidential elections."	"In December 2007, he said that the local majority would present common lists for the presidential elections in 2008."			
"He said in December 2007, that the local majority would present joint lists for the 2008 presidential elections."	"In December 2007, he said that the local majority would present common lists for the 2008 presidential elections."			
This was resolved with the Ostrów Agreement -- Vytautas became the Grand Duke of Lithuania while Jogaila retained rights of an overlord.	"This was solved with the Ostrów agreement -- Vytautas became Grand Duke of Lithuania, while Jogaila retained the rights of an overlord."			
This was resolved with the Ostrów Agreement -- Vytautas became the Grand Duke of Lithuania while Jogaila retained rights of an overlord.	"With the Ostrów agreement, this was decided -- Vytautas became the Grand Duke of Lithuania, while Jogaila retained the rights of an overlord."			
This was resolved with the Ostrów Agreement -- Jogaila became the Grand Duke of Lithuania while Vytautas retained rights of an overlord.	"This was resolved by the Ostrów agreement -- Jogaila became Grand Duke of Lithuania, while Vytautas retained the rights of an overlord."			
This was resolved with the Ostrów Agreement -- Jogaila became the Grand Duke of Lithuania while Vytautas retained rights of an overlord.	"This was resolved with the Ostrów agreement -- Jogaila became Grand Prince of Lithuania, while Vytautas retained the rights of an overlord."			
"Denco is a former settlement in Colusa County, California, north of Colusa on the Southern Pacific Railroad."	"Denco is a former settlement in Colusa County, California, north of Colusa on Southern Pacific Railroad."			
"Denco is a former settlement in Colusa, north of Colusa County, California on the Southern Pacific Railroad."	"Denco is a former settlement in Colusa, north of Colusa County, California, on Southern Pacific Railroad."			
Then Beal starts his match with Chip Reese.	Beal then starts his match with Chip Reese.			
"The fundamental group π (Spin (""n"")) is isomorphic to Z."	"The fundamental group π (spin (""n"")) is Z isomorphic."			
Reynolds was selected by the Arizona Diamondbacks in the 16th round (476th overall) of the 2004 Major League Baseball draft.	In the 16th round (476th overall rank) of the Major League Baseball - Draft 2004 was selected by the Arizona Diamondbacks.			
Reynolds was selected by the Arizona Diamondbacks in the 16th round (476th overall) of the 2004 Major League Baseball draft.	"In the 16th round (476th total) of the Major League Baseball draft in 2004, Arizona Reynolds was selected by the Arizona Diamondbacks."			
Reynolds was selected by the Arizona Diamondbacks in the 476th round (16th overall) of the 2004 Major League Baseball draft.	"In the 476th round (16th total) of the Major League Baseball draft in 2004, Arizona Reynolds was selected by the Arizona Diamondbacks."			
Reynolds was selected by the Arizona Diamondbacks in the 476th round (16th overall) of the 2004 Major League Baseball draft.	"In the 476th round (16th overall rank) of the Major League Baseball - Draft 2004, Arizona Reynolds was selected by the Arizona Diamondback."			
A certain village suddenly turns violent when a peaceful stranger walks into a bar with the poster of a wanted man.	A certain village suddenly becomes violent when a peaceful stranger goes into a bar with the poster of a wanted man.			
"In 2008, Courtney Mathewson from UC Irvine, and Tim Hutten from UCLA won the Cutinos."	"In 2008, Courtney Mathewson from UC Irvine and Tim Hutten of UCLA won the Cutinos."			
"Reactance is defined as the imaginary part of Electrical impedance, and is equal but not generally analogous to the inverse of the susceptance."	"The reactance is defined as the imaginary part of electrical impedance and is equal, but not generally analogous to reversing the susceptance."			
"Reactance is defined as the imaginary part of Electrical impedance, and is equal but not generally analogous to the inverse of the susceptance."	"The reactance is defined as the imaginary part of electrical impedance and is equal, but generally not analogous to reversing the susceptance."			
"Colonel Koski died in 1989 and Lieutenant Colonel Ray died on New Year's Eve, 1989."	Colonel Koski died in 1989 and Colonel Lieutenant Ray died on New Year's Eve 1989.			
"Colonel Ray died in 1989 and Lieutenant Colonel Koski died on New Year's Eve, 1989."	Colonel Ray died in 1989 and Lieutenant Colonel Koski died on New Year's Eve in 1989.			
"He is the son of Malaysia's third prime minister, Najib Razak, and the cousin of the sixth and current prime minister, Hussein Onn."	"He is the son of the third prime minister of Malaysia, Najib Razak, and the cousin of the sixth and current prime minister, Hussein Onn."			
"He is the son of Malaysia's third prime minister, Najib Razak, and the cousin of the sixth and current prime minister, Hussein Onn."	"He is the son of Malaysia ’s third prime minister, Najib Razak, and the cousin of the sixth and current prime minister, Hussein Onn."			
"In addition, German uses separable stress for inseparable prefixes and different prefixes in verbs and words derived from such verbs."	"In addition, German uses separable stress for inseparable prefixes and different prefixes in verbs and words that are derived from such verbs."			
"In addition, German uses separable stress for inseparable prefixes and different prefixes in verbs and words derived from such verbs."	"In addition, German uses divisible stress for inseparable prefixes and different prefixes in verbs and words derived from such verbs."			
"Where ""e"" is the electric charge of the particle and A the magnetic vector potential of the electromagnetic field."	"Where ""e"" the electrical charge of the particle and A is the magnetic vector potential of the electromagnetic field."			
"Where ""e"" is the electric charge of the particle and A the magnetic vector potential of the electromagnetic field."	"Whereas"" e ""the electric charge of the particle and A is the magnetic vector potential of the electromagnetic field."			
"Where ""e"" is the magnetic charge of the particle and A the electric vector potential of the electromagnetic field."	"Where ""e"" the magnetic charge of the particle and A is the electrical vector potential of the electromagnetic field."			
"Where ""e"" is the magnetic charge of the particle and A the electric vector potential of the electromagnetic field."	"Whereas"" e ""the magnetic charge of the particle and A is the electric vector potential of the electromagnetic field."			
"Mark Edmondson and Sherwood Stewart won the title, defeating Anders Järryd and Hans Simonsson in the final."	Mark Edmondson and Sherwood Stewart won the title and defeated in the final Anders Järryd and Hans Simonsson.			
"The amphibious version of the LCVP, or Higgins boat was used extensively in American landings in World War II."	"The amphibious version of the LCVP, or Higgins Boat, was extensively used in American landings in World War II."			
"The ""World Atlas of Language Structures"" has a global map showing 400 languages and chapter text including geographical discussion:"	"The ""World Atlas for Language Structures"" has a global map of 400 languages and chapter text, including geographical discussion:"			
"The ""World Atlas of Language Structures"" has a global map showing 400 languages and chapter text including geographical discussion:"	"The ""World Atlas of Language Structures"" has a global map with 400 languages and chapter text, including geographical discussion:"			
Fort Paull is the location of the last remaining complete Blackburn Beverley heavy transport aircraft.	Fort Paull is the location of the last complete Blackburn Beverley heavy transport aircraft.			
Fort Paull is the location of the last remaining heavy Blackburn Beverley complete transport aircraft.	Fort Paull is the location of the last remaining heavy Blackburn Beverley transport aircraft.			
"The current chief executive officer is Beth Janson, and the chair of the board is Martin Katz."	"The current Chief Executive Officer is Beth Janson, and the Chairman of the Board is Martin Katz."			
"The current chief executive officer is Martin Katz, and the chair of the board is Beth Janson."	"The current Chief Executive Officer is Martin Katz, and the chairman of the Board is Beth Janson."			
Deutsch Schützen-Eisenberg is a municipality in Burgenland in the district of Oberwart in Austria.	Schützen-Eisenberg is a municipality in the district of Oberwart in Austria in Burgenland.			
Deutsch Schützen-Eisenberg is a municipality in Burgenland in the district of Oberwart in Austria.	Schützen-Eisenberg is a municipality in Burgenland in the Oberwart district of Austria.			
Deutsch Schützen-Eisenberg is a municipality in Oberwart in the district of Burgenland in Austria.	Schützen-Eisenberg is a municipality in Oberwart in the district of Burgenland in Austria.			
Deutsch Schützen-Eisenberg is a municipality in Oberwart in the district of Burgenland in Austria.	"Schützen-Eisenberg is a municipality in Oberwart, in the Burgenland district of Austria."			
The philosophical and legal provisions of Roerich's concrete conceptual concept of the state are based on	The philosophical and legal provisions of the concrete concept of state of Roerich are based on:			
"He and his family moved from Colorado to Wyoming to Oregon until he was about 5 years old, when they settled in Silver Spring, Maryland."	"He and his family moved from Colorado to Wyoming to Oregon until he was about five years old when they settled in Silver Spring, Maryland."			
"He and his family moved from Colorado to Wyoming to Oregon until he was about 5 years old, when they settled in Silver Spring, Maryland."	"He and his family moved from Colorado to Wyoming to Oregon until he was about 5 years old when she settled in Silver Spring, Maryland."			
"He and his family moved from Wyoming to Colorado to Oregon until he was about 5 years old, when they settled in Silver Spring, Maryland."	"He and his family moved from Wyoming to Colorado to Oregon until he was around five years old when they settled in Silver Spring, Maryland."			
"He then asked his assistant Gunpei Yokoi about the possibility of shooting their current product, the ""Opto-Electronic Gun SP"", for using simulations."	"Then he asked his assistant Gunpei Yokoi about the possibility of shooting their current product, the ""OptoElectronic Gun SP"", for simulations."			
"Blacket hid to the cathedral, a crucifix, which he had carved in his youth; a controversial gift which the authorities gave away for many years."	"Blacket hid a crucifix in the cathedral, which he had carved in his youth, a controversial gift that the authorities gave away for many years to come."			
Justo buries Manuel alive and then goes away.	Justo buries Manuel alive and then goes away again.			
"After the death of her first husband, Katharina Dalton remarried Tom Dalton, who passed away in 1992."	"After the death of her first husband, Katharina Dalton married Tom Dalton, who passed away in 1992."			
"After the death of her first husband, Tom Dalton remarried Katharina Dalton, who passed away in 1992."	"After the death of her first husband, Tom Dalton married Katharina Dalton, who passed away in 1992."			
"According to co-star Melody Thomas Scott, the firing was seen behind the scenes of ""The Young and the Restless"" and was protested as unfair."	"According to Co-Star Melody Thomas Scott, the fire was seen behind the scenes of ""The Young and the Restless"" and protested as unfair."			
"The glabrezu true tanar'ri also appeared for the Planescape campaign setting in the first ""Planescape Monstrous Compendium Appendix"" (1994)."	"The glabrezu true tanar '; ri also appeared for the planescape - campaign setting in the first ""Planescape Monstrous Compendium Appendix"" (1994)."			
"Finsch's monitor was only known from Blanche Bay, Ralum, and Massawa in New Britain."	"The Finsch monitor was only known from Blanche Bay, Ralum and Massawa in New Britain."			
"Finsch's monitor was only known from Blanche Bay, Ralum, and Massawa in New Britain."	"Finsch's monitor was only known by Blanche Bay, Ralum and Massawa in New Britain."			
"Finsch's monitor was only known from Blanche Bay, Ralum, and New Britain in Massawa."	"The Finsch monitor was known only from Blanche Bay, Ralum and New Britain in Massawa."			
Different choices for the same variables may lead to different descriptions of the free solution set.	Different choices for the same variables may lead to different descriptions of the free solution.			
"Spaniards called him ""eccentric genius"" due to his original style of play, but his motto was ""This is all just a game"""	"The Spaniards called him ""eccentric genius"" because of his original play style, but his motto was"" This is all just a game""."			
The building on the north side of the field previously owned by Sino Swearingen Aircraft Corp. followed by Emivest Aerospace Corp. is now owned and operated by Acer Tech.	"The building on the north side of the field, previously owned by Sino Swearingen Aircraft Corp., followed by the Emivest Aerospace Corp., is now owned and operated by Acer Tech."			
The building on the north side of the field previously followed by Emivest Aerospace Corp. Owned and operated by Sino Swearingen Aircraft Corp. Is now owned by Acer Tech.	"The building on the north side of the field followed by Emivest Aerospace Corp., owned and operated by Sino Swearingen Aircraft Corp. Is now owned by Acer Tech."			
"The film is about Rafael, a new singer in Malayalam film industry."	"This film is about Rafael, a new singer in the Malayalam film industry."			
"The film is about Rafael, a new singer in Malayalam film industry."	"The film is about Rafael, a new singer in the film industry in Malayalam."			
"The film is about Rafael, a Malayalam singer in new film industry."	"This film is about Rafael, a Malayalam singer in the new film industry."			
"The historical status of Alsace has been heavily influenced by strategic decisions, wars, and political politics."	"The historical status of Alsace was heavily influenced by strategic decisions, wars, and political politics."			
Article 4 is Islamic and the Council of Guardians ensures that all articles of the Constitution as well other laws are based on immutable criteria.	"Article 4 is Islamic, and the Guardians' Council ensures that all articles of the Constitution and other laws are based on immutable criteria."			
Article 4 is Islamic and the Council of Guardians ensures that all articles of the Constitution as well other laws are based on immutable criteria.	"Article 4 is Islamic, and the Council of Guardians ensures that all articles of the Constitution and other laws are based on immutable criteria."			
The absence of trouble with the law was guaranteed by the secret protection of the Préfet de police Jean Chiappe and Minister Albert Sarraut.	The absence of anger with the law was guaranteed by the secret protection of the Préfet de Police Jean Chiappe and Minister Albert Sarraut.			
The absence of trouble with the law was guaranteed by the secret protection of the Préfet de police Albert Sarraut and Minister Jean Chiappe.	The absence of annoyance with the law was guaranteed by the secret protection of Préfet de Police Albert Sarraut and Minister Jean Chiappe.			
"The map contains numerous references to mythology as if they were geographical fact, as illustrated by comments about Brutus' mythical landings in Devon."	"The map contains numerous references to mythology, as if they were geographical facts, as illustrated by comments on Brutus'; mythical landings in Devon."			
The head of the college is Danny Hubball and the assistant head is Steve Marshall.	The head of the college is Danny Hubball and the assistant is Steve Marshall.			
The head of the college is Steve Marshall and the assistant head is Danny Hubball.	The leader of the college is Steve Marshall and the Assistant Head is Danny Hubball.			
The head of the college is Steve Marshall and the assistant head is Danny Hubball.	The head of the college is Steve Marshall and the assistant manager is Danny Hubball.			
"Innovations made by Iranian women are not restricted to Western classical music. For instance, Lily Afshar is working on a combination of Persian and Persian music."	"Innovations made by Iranian women are not confined to classical Western music, so Lily Afshar is working on a combination of Persian and Persian music."			
"Qarabağlı (also, Karabagly) is a village and municipality in the Samukh Rayon of Azerbaijan. It has a population of 652."	"It is a village and municipality in the Samukh - Rayon of Azerbaijan, has a population of 652."			
Major General Nathan Mugisha replaced Major General Francis Okello as commander of AMISOM on 7 July 2009.	"On 7 July 2009, General Major Francis Okello was replaced as Commander of the AMISOM by General Major Nathan Mugisha."			
Major General Nathan Mugisha replaced Major General Francis Okello as commander of AMISOM on 7 July 2009.	"On July 7, 2009, General Major Francis Okello was replaced as Commander of AMISOM by the general major Nathan Mugisha."			
Major General Francis Okello replaced Major General Nathan Mugisha as commander of AMISOM on 7 July 2009.	"On July 7, 2009, General Major Nathan Mugisha was replaced as Commander of AMISOM by the general major Francis Okello."			
Major General Francis Okello replaced Major General Nathan Mugisha as commander of AMISOM on 7 July 2009.	"On 7 July 2009, General Major Nathan Mugisha was replaced as Commander of AMISOM by the general major Francis Okello."			
"The Serbian language comprises several dialects, the standard language is based on the Stokavian dialect."	"The Serbian language comprises several dialects, the standard language is based on the Stocawian dialect."			
"Seelbach is located on the western edge of the Schutter Valley in the Black Forest, south-east of Lahr."	"Seelbach is located on the western edge of the Schuttertal valley in the Black Forest, south-east of Lahr."			
The father was an influential writer on poor law and agricultural questions between 1825 and 1828.	The father was an influential writer between 1825 and 1828 on poor law and agriculture.			
The father was an influential writer on agricultural law and poor questions between 1825 and 1828.	The father was an influential writer on agricultural law and poor issues between 1825 and 1828.			
The father was an influential writer on agricultural law and poor questions between 1825 and 1828.	The father was an influential writer between 1825 and 1828 on agricultural law and bad questions.			
"In 2005, Kinsale became Ireland's second Fair Trade Town, with Clonakilty being the first."	"In 2005, Kinsale became Ireland ’s second Fair Trade Town, with Clonakilty being the first."			
It reopened again a few years later but soon failed again.	"A few years later it was reopened, but soon failed again."			
It failed again a few years later but soon reopened again.	"A few years later it failed again, but soon opened again."			
It failed again a few years later but soon reopened again.	"A few years later it failed again, but opened again soon."			
I tried to buy it when George Romney (later Michigan governor) and Roy Abernethy were running AMC.	I 've tried to buy it when George Romney (later governor of Michigan) and Roy Abernethy AMC were running.			
I tried to buy it when George Romney (later Michigan governor) and Roy Abernethy were running AMC.	I tried to buy it when George Romney (later Governor of Michigan) and Roy Abernethy were leading AMC.			
I tried to buy it when Roy Abernethy (later Michigan governor) and George Romney were running AMC.	I tried to buy it when Roy Abernethy (later governor of Michigan) and George Romney were AMC.			
I tried to buy it when Roy Abernethy (later Michigan governor) and George Romney were running AMC.	I tried to buy it when Roy Abernethy (later Michigan Governor) and George Romney run AMC.			
"The Franciscan is the literary magazine, with events, annual articles, submissions from students and from staff, and photographs."	"The Franciscan is the literary magazine, with events, annual articles, submissions by students and staff and photographs."			
"When John II died in 1378, John III inherited most of these possessions."	"In 1378, when John II died, Johannes III inherited most of these possessions."			
"When John III died in 1378, John II inherited most of these possessions."	"Johannes III died in 1378, when John II inherited most of these possessions."			
"He attended the William Penn Charter School through junior year, then moved with his family to New York in Long Island."	"He attended the William Penn Charter School until Junior - year, then moved with his family to New York in Long Island."			
"He began his career in the Football League with Sheffield United, joining Scunthorpe United of the Fourth Division in June 1961."	"He began his career in the Football League with Sheffield United, before joining Scunthorpe United of the Fourth Division in June 1961."			
"He began his career in the Football League with Scunthorpe United, joining Sheffield United of the Fourth Division in June 1961."	He began his career in the Football League with Scunthorpe United before moving to Sheffield United of the Fourth Division in June 1961.			
"He began his career in the Football League with Scunthorpe United, joining Sheffield United of the Fourth Division in June 1961."	He began his career in the Football League with Scunthorpe United before joining Sheffield United in the fourth division in June 1961.			
"Both sexes are largely reddish black with black wings, but the male has a dusky-brown abdomen with a bluish tip."	"Both sexes are largely reddish black with black wings, but the male has a dark brown abdomen with a bluish tip."			
Oxalaia is more closely related to African spinosaurids than to taxonomic members of the Brazilian family.	Oxalaia is more closely related to African spinosaurides than to the taxonomic members of the Brazilian family.			
"Weyman Airpark is an airport in New Brunswick, Canada located near the Keswick River in Sisson Settlement."	"Weyman Airpark is an airport in New Brunswick, Canada, situated near the Keswick River in Sisson Settlement."			
"Weyman Airpark is an airport in New Brunswick, Canada located near the Keswick River in Sisson Settlement."	"Weyman Airpark is an airport located in New Brunswick, Canada, close to the Keswick River in Sisson Settlement."			
"Keswick River is an airport in New Brunswick, Canada located near the Weyman Airpark in Sisson Settlement."	"Keswick River is an airport located in New Brunswick, Canada, near Weyman Airpark in Sisson Settlement."			
"It also has entertaining and highly informative soft news features, as well as opinionated national and local columnists."	"It also has entertaining and highly informative soft news features, as well as well-considered national and local columnists."			
"It also has informative soft and highly opinionated national and local news features, as well as entertaining columnists."	It also has informative soft and high-meaning national and local news features as well as entertaining columnists.			
"At WrestleMania XV, Holly lost the title to Gunn in a Triple Threat match which also included Al Snow."	"In WrestleMania XV, Holly lost the title to Gunn in a Triple Threat match, which also included Al Snow."			
"At WrestleMania XV, Holly lost the title to Gunn in a Triple Threat match which also included Al Snow."	"At WrestleMania XV, Holly lost the title to Gunn in a Triple Threat match that also included Al Snow."			
"Scurria plana is a species of sea snail, a true limpet, a marine gastropod mollusc in the family Lottiidae, one of the families of true limpets."	"Scurria plana is a species of sea snail, a true limpet, a marine gastropod mollusc in the Lottiidae family, one of the families of the true limpets."			
"Scurria plana is a species of sea snail, a true limpet, a marine gastropod mollusc in the family Lottiidae, one of the families of true limpets."	"Scurria plana is a sea snail species, a true limpet, a marine gastropod mollusc in the Lottiidae family, one of the families of the true limpets."			
"Scurria plana is a species of sea snail, a true limpet, a true gastropod mollusc in the family Lottiidae, one of the families of marine limpets."	"Scurria plana is a species of sea snail, a true limpet, a true gastropod mollusc in the Lottiidae family, one of the families of the marine limpets."			
"At the same time, a Neapolitan garrison would betray it to the first man who would bribe him."	"At the same time, a Neapolitan garrison would betray them to the first man who would bribe it."			
"At the same time, a Neapolitan garrison would betray it to the first man who would bribe him."	"At the same time, a Neapolitan garrison would betray the first man to bribe him."			
"At the same time, a Neapolitan garrison would bribe it to the first man, who would betray him."	"At the same time, a Neapolitan garrison would bribe it for the first man who would betray him."			
"Leudesius and Theuderic III fled with the royal treasure to Baizieux, where Ebroin overtook them and had Leudesius murdered."	"Leudesius and Theuderich III fled to Baizieux with the royal treasure, where Ebroin overtook them and murdered Leudesius."			
"Leudesius and Theuderic III fled with the royal treasure to Baizieux, where Ebroin overtook them and had Leudesius murdered."	"Leudesius and Theuderic III escaped to Baizieux with the royal treasure, where Ebroin overtook them and murdered Leudesius."			
"Leudesius and Theuderic III fled with the royal treasure to Baizieux, where Leudesius overtook them and had Ebroin murdered."	"Leudesius and Theuderic III fled to Baizieux with their royal treasure, where Leudesius overtook them and murdered Ebroin."			
"Leudesius and Theuderic III fled with the royal treasure to Baizieux, where Leudesius overtook them and had Ebroin murdered."	"Leudesius and Theuderic III fled to Baizieux with the royal treasure, where Leudesius overtook it and murdered Ebroin."			
"While John continued to be used as a background singer, Gordy dissolved her contract in 1962."	"While John continued to be used as a background singer, Gordy solved her contract in 1962."			
"While Gordy continued to be used as a background singer, John dissolved her contract in 1962."	"While Gordy continued to be used as a background singer, John triggered her contract in 1962."			
"Miles started playing football for the Vikings, a Pop Warner football team that L.V. coached."	"Miles started playing football for the Vikings, a Pop Warner football team, L.V."			
"Initially it was similar to another junior committee, the Council of Forty, but in later centuries it grew in importance."	"Initially it was similar to another junior committee, the Council of Forty, but in later centuries it gained in importance."			
"Serving the city and surrounding communities, the buses originate at the Ridge Street terminal, across from City Park and City Hall."	"The buses serving the city and the surrounding communities are at the Ridge Street terminal, across from City Park and the City Hall."			
"Parrish and Grey reprise their roles from ""Three Smart Girls"", and Barbara Read replaces Durbin in the role of the middle sister."	"Parrish and Grey repeat their roles with ""Three Smart Girls"" and Barbara Read replaces Durbin in the role of the middle sister."			
"Depending on exact species, the Asian species include between, and weigh the smallest ungulates in the world."	"Depending on exact species, the Asian species include between and the smallest animals in the world and weigh."			
"Depending on exact species, the Asian species include between, and weigh the smallest ungulates in the world."	"Depending on exact species, the Asian species include and weigh between and the smallest animals in the world."			
"Planet X is a bicycle company based in Sheffield, in the north of England. It was founded in 1990 by Dave Loughran from Rotherham."	"It is a bicycle company based in Sheffield in the North of England, founded in 1990 by Dave Loughran from Rotherham."			
"Digital built a very large facility on Porter Road and Foster Street near the Common, as well as offices on King Street."	Digital built a very large facility on Porter Road and Foster Street near the Common and offices on King Street.			
"Digital built a very large facility on Porter Road and Foster Street near the Common, as well as offices on King Street."	"Digital built a very large facility in Porter Road and Foster Street near the Common, as well as offices on King Street."			
"The Spaniards besieged in the church and convent surrendered to the Katipuneros on August 19, 1898."	"The Spaniards besieged in the church surrendered to Katipuneros on August 19, 1898."			
"Lupinus bicolor has a thin stem and short, hairy, palmately-arranged leaves."	"Lupinus bicolor has a thin stem and short, hairy, palm-like leaves."			
"It was located around a pond in Isen Town of Tokunoshima, after which ""kamuiyaki"" was named."	"It was located around a pond in Isen city of Tokunoshima, after which ""kamuiyaki"" was named."			
The music of Kalia is composed by Wajahat Attre with lyrics penned by Waris Ludhianvi and Khawaja Pervez and singers are Noor Jehan and Naheed Akhtar.	The music from Kalia is composed by Wajahat Attre with texts by Waris Ludhianvi and Khawaja Pervez and singers are Noor Jehan and Naheed Akhtar.			
The music of Kalia is composed by Wajahat Attre with lyrics penned by Waris Ludhianvi and Khawaja Pervez and singers are Noor Jehan and Naheed Akhtar.	The music of Kalia is composed by Wajahat Attre with lyrics by Waris Ludhianvi and Khawaja Pervez and singers are Noor Jehan and Naheed Akhtar.			
"For (poorly standardized) terminology such as ""second granduncle"", see first cousins twice removed."	"For (poorly standardized) terminology such as"" Second Granduncle "", see the first cousins removed twice."			
"Three years later, he won a silver medal in the same event for West Germany at the European championships in Hahnenklee."	Three years later he won a silver medal in the same competition at the European Championships in Hahnenklee for western Germany.			
"Three years later, he won a silver medal in the same event for West Germany at the European championships in Hahnenklee."	Three years later he won a silver medal in the same competition at the European Championship in Hahnenklee for West Germany.			
"Instead of Prince Patrick Island, the island in the film is located due north of Ellesmere Island (cf."	"Instead of Prince Patrick Island, the island is in the film north of Ellesmere Island."			
"Instead of Prince Patrick Island, the island in the film is located due north of Ellesmere Island (cf."	"The island in the film is located north of Ellesmere Island (cf. ""Prince Patrick Island"")."			
"Instead of Ellesmere Island, the island in the film is located due north of Prince Patrick Island (cf."	The island in the film is located north of Prince Patrick Island (cf. Ellesmere Island).			
Szabina Tápai (born 30 January 1986 in Kiskunhalas) is a Hungarian handballer who plays for Szent István SE in the second league.	"Szabina Tápai (born January 30, 1986 in Kiskunhalas) is a Hungarian handball player who plays in the second league for the Szent István SE."			
Szabina Tápai (born 30 January 1986 in Kiskunhalas) is a second handballer who plays for Szent István SE in the Hungarian league.	"Szabina Tápai (born January 30, 1986 in Kiskunhalas) is a second handball player who plays in the Hungarian League for Szent István SE."			
Szabina Tápai (born 30 January 1986 in Kiskunhalas) is a second handballer who plays for Szent István SE in the Hungarian league.	"Szabina Tápai (born January 30, 1986 in Kiskunhalas) is a second handballer who plays in the Hungarian League for Scent István SE."			
Ramagundam experiences cool inland climatic conditions with hot summers and dry winters.	Ramagundam experiences cool climatic conditions inland with hot summers and dry winters.			
"Winter is characterized by dry, sunny, and quite pleasant days, and cool and occasionally foggy nights."	"The winter is characterized by dry, sunny and pleasant days and cool and occasionally foggy nights."			
"Winter is characterized by cool, and quite dry, sunny days, and pleasant and occasionally foggy nights."	"The winter is characterized by cool and quite dry, sunny days and pleasant and occasionally foggy nights."			
"The communes which border on Calvagese della Riviera are Polpenazze del Garda, Prevalle, Bedizzole, Padenghe sul Garda, Lonato, Soiano del Lago, and Muscoline."	"The municipalities which border Calvagese della Riviera are Polpenazze del Garda, Prevalle, Bedizzole, Padenghe sul Garda, Lonato, Soiano del Lago and Muscoline."			
